train_id,train_type,section_id,day_of_week,scheduled_hour,occupancy_duration_mins
TRN_1001,Express_Passenger,SEC_01,0,12,21
TRN_1001,Express_Passenger,SEC_01,1,12,21
TRN_1001,Express_Passenger,SEC_01,2,12,21
TRN_1001,Express_Passenger,SEC_01,3,12,21
TRN_1001,Express_Passenger,SEC_01,4,12,21
TRN_1001,Express_Passenger,SEC_01,5,12,21
TRN_1001,Express_Passenger,SEC_01,6,12,21
TRN_1001,Express_Passenger,SEC_02,0,12,13
TRN_1001,Express_Passenger,SEC_02,1,12,13
TRN_1001,Express_Passenger,SEC_02,2,12,13
TRN_1001,Express_Passenger,SEC_02,3,12,13
TRN_1001,Express_Passenger,SEC_02,4,12,13
TRN_1001,Express_Passenger,SEC_02,5,12,13
TRN_1001,Express_Passenger,SEC_02,6,12,13
TRN_1001,Express_Passenger,SEC_03,0,11,10
TRN_1001,Express_Passenger,SEC_03,1,11,10
TRN_1001,Express_Passenger,SEC_03,2,11,10
TRN_1001,Express_Passenger,SEC_03,3,11,10
TRN_1001,Express_Passenger,SEC_03,4,11,10
TRN_1001,Express_Passenger,SEC_03,5,11,10
TRN_1001,Express_Passenger,SEC_03,6,11,10
TRN_1001,Express_Passenger,SEC_04,0,12,19
TRN_1001,Express_Passenger,SEC_04,1,12,19
TRN_1001,Express_Passenger,SEC_04,2,12,19
TRN_1001,Express_Passenger,SEC_04,3,12,19
TRN_1001,Express_Passenger,SEC_04,4,12,19
TRN_1001,Express_Passenger,SEC_04,5,12,19
TRN_1001,Express_Passenger,SEC_04,6,12,19
TRN_1001,Express_Passenger,SEC_05,0,12,20
TRN_1001,Express_Passenger,SEC_05,1,12,20
TRN_1001,Express_Passenger,SEC_05,2,12,20
TRN_1001,Express_Passenger,SEC_05,3,12,20
TRN_1001,Express_Passenger,SEC_05,4,12,20
TRN_1001,Express_Passenger,SEC_05,5,12,20
TRN_1001,Express_Passenger,SEC_05,6,12,20
TRN_1001,Express_Passenger,SEC_06,0,12,21
TRN_1001,Express_Passenger,SEC_06,1,12,21
TRN_1001,Express_Passenger,SEC_06,2,12,21
TRN_1001,Express_Passenger,SEC_06,3,12,21
TRN_1001,Express_Passenger,SEC_06,4,12,21
TRN_1001,Express_Passenger,SEC_06,5,12,21
TRN_1001,Express_Passenger,SEC_06,6,12,21
TRN_1001,Express_Passenger,SEC_07,0,11,15
TRN_1001,Express_Passenger,SEC_07,1,11,15
TRN_1001,Express_Passenger,SEC_07,2,11,15
TRN_1001,Express_Passenger,SEC_07,3,11,15
TRN_1001,Express_Passenger,SEC_07,4,11,15
TRN_1001,Express_Passenger,SEC_07,5,11,15
TRN_1001,Express_Passenger,SEC_07,6,11,15
TRN_1001,Express_Passenger,SEC_08,0,11,13
TRN_1001,Express_Passenger,SEC_08,1,11,13
TRN_1001,Express_Passenger,SEC_08,2,11,13
TRN_1001,Express_Passenger,SEC_08,3,11,13
TRN_1001,Express_Passenger,SEC_08,4,11,13
TRN_1001,Express_Passenger,SEC_08,5,11,13
TRN_1001,Express_Passenger,SEC_08,6,11,13
TRN_1001,Express_Passenger,SEC_09,0,12,15
TRN_1001,Express_Passenger,SEC_09,1,12,15
TRN_1001,Express_Passenger,SEC_09,2,12,15
TRN_1001,Express_Passenger,SEC_09,3,12,15
TRN_1001,Express_Passenger,SEC_09,4,12,15
TRN_1001,Express_Passenger,SEC_09,5,12,15
TRN_1001,Express_Passenger,SEC_09,6,12,15
TRN_1001,Express_Passenger,SEC_10,0,11,11
TRN_1001,Express_Passenger,SEC_10,1,11,11
TRN_1001,Express_Passenger,SEC_10,2,11,11
